restaurant_name_clean,combined_cost_deliveroo,combined_cost_takeaway,delivery_fee_deliveroo,delivery_fee_takeaway,min_order_deliveroo,min_order_takeaway,rating_deliveroo,rating_takeaway,rating_count_deliveroo,rating_count_takeaway,total_delivery_time_deliveroo,total_delivery_time_takeaway,weighted_rating_deliveroo,weighted_rating_takeaway
#falafel,9.99,19.84,4.99,4.84,5.0,15.0,4.6,4.5,33.0,35.0,35.65,45.0,4.2385542168674695,4.205882352941177
acqua e farina,9.99,35.0,4.99,0.0,5.0,35.0,4.3,4.5,28.0,143.0,39.18,42.5,4.107692307692307,4.370466321243524
africalicious,9.99,50.0,4.99,0.0,5.0,50.0,3.1,3.7,14.0,328.0,47.48,52.5,3.803125,3.73968253968254
agora,9.99,40.0,4.99,0.0,5.0,40.0,4.4,4.1,12.0,241.0,69.66,37.5,4.077419354838709,4.082817869415807
akdeniz,9.99,19.84,4.99,4.84,5.0,15.0,3.9,4.3,105.0,134.0,36.13,45.0,3.932258064516129,4.218478260869565
ali baba,9.99,21.666666666666668,4.99,0.0,5.0,21.666666666666668,4.2,4.166666666666667,479.0,778.6666666666666,36.77,36.666666666666664,4.181096408317581,4.1400659781694715
ali baba stalenstraat,9.99,22.5,4.99,2.5,5.0,20.0,4.2,3.9,95.0,1348.0,37.44,37.5,4.13103448275862,3.903576537911302
ali baba vennestraat,9.99,22.5,4.99,2.5,5.0,20.0,3.9,3.9,74.0,1348.0,36.81,32.5,3.940322580645161,3.903576537911302
amvrosia,9.99,23.59,4.99,5.59,5.0,18.0,4.6,4.4,500.0,532.0,36.05,45.0,4.545454545454546,4.365635738831616
andromeda,9.99,19.84,4.99,4.84,5.0,15.0,4.4,4.7,474.0,1262.0,23.52,40.0,4.361832061068703,4.673323170731708
ankara,9.99,19.84,4.99,4.84,5.0,15.0,4.4,4.6,12.0,196.0,39.78,45.0,4.077419354838709,4.478048780487804
annapurna,9.99,15.49,4.99,3.49,5.0,12.0,4.2,4.1,109.0,90.0,41.23,45.0,4.1371069182389935,4.064285714285714
antwerp kebab,9.99,19.84,4.99,4.84,5.0,15.0,4.4,3.5,26.0,80.0,25.42,55.0,4.136842105263158,3.6923076923076925
arabesque,9.99,19.84,4.99,4.84,5.0,15.0,3.6,4.2,31.0,156.0,37.39,65.0,3.846913580246914,4.151456310679612
arax,9.99,40.0,4.99,0.0,5.0,40.0,4.3,4.4,116.0,146.0,48.61,57.5,4.209638554216867,4.29795918367347
aroy,9.99,45.0,4.99,5.0,5.0,40.0,4.4,4.6,500.0,571.0,41.9,37.5,4.363636363636363,4.551690821256038
aroy thai,9.99,23.59,4.99,5.59,5.0,18.0,4.4,4.1,500.0,38.0,30.08,45.0,4.363636363636363,4.043181818181818
au pain marie,14.99,19.84,4.99,4.84,10.0,15.0,4.6,4.6,500.0,273.0,15.77,35.0,4.545454545454546,4.507120743034055
b-cook,9.99,23.59,4.99,5.59,5.0,18.0,4.5,4.0,500.0,16.0,27.6,60.0,4.454545454545454,4.0
babu,9.99,19.84,4.99,4.84,5.0,15.0,4.2,4.3,500.0,15.0,23.38,50.0,4.181818181818182,4.069230769230769
balls & glory,9.99,17.723333333333333,4.99,4.39,5.0,13.333333333333334,4.5,4.233333333333333,500.0,94.66666666666667,32.629999999999995,48.333333333333336,4.454545454545454,4.039114762579572
banh mi,9.99,19.84,4.99,4.84,5.0,15.0,4.5,4.4,500.0,239.0,21.5,40.0,4.454545454545454,4.330795847750865
bar nine,9.99,12.99,4.99,2.99,5.0,10.0,4.3,4.2,22.0,9.0,36.73,45.0,4.091666666666667,4.030508474576272
barouche leuven,9.99,12.99,4.99,2.99,5.0,10.0,4.3,4.2,500.0,11.0,31.09,45.0,4.2727272727272725,4.036065573770491
basic italian,9.99,23.59,4.99,5.59,5.0,18.0,4.1,3.6,329.2,86.0,31.306,50.0,4.0844402832516655,3.7470588235294118
bavet,9.99,17.19625,4.99,4.07125,5.0,13.125,4.35,3.7,500.0,219.625,24.509999999999998,43.125,4.318181818181818,3.7959974297296513
beiruti,9.99,19.84,4.99,4.84,5.0,15.0,4.0,3.5,500.0,295.0,38.78,40.0,4.0,3.572463768115942
belchicken,9.99,25.633,4.99,2.133,5.0,23.5,3.95,3.8600000000000003,412.5,164.9,29.189999999999998,41.5,3.960909090909091,3.9489084413227196
belchicken overpoortstraat,9.99,19.84,4.99,4.84,5.0,15.0,4.1,3.9,500.0,430.0,21.81,45.0,4.090909090909091,3.910416666666667
belchicken rooigemlaan,9.99,23.59,4.99,5.59,5.0,18.0,4.2,3.6,409.0,236.0,29.41,45.0,4.178213507625273,3.6699300699300696
bella italia,9.99,28.498,4.99,1.498,5.0,27.0,4.2,4.4399999999999995,163.0,179.4,39.27,35.5,4.153051643192488,4.185362003619153
bella vista,9.99,23.59,4.99,5.59,5.0,18.0,3.8,3.2,54.0,20.0,35.79,45.0,3.896153846153846,3.7714285714285714
benvenuto,24.99,30.0,4.99,0.0,20.0,30.0,4.3,4.7,50.0,42.0,87.82,27.5,4.15,4.319565217391304
besushi pokebowl,9.99,40.0,4.99,0.0,5.0,40.0,4.6,4.2,102.0,155.0,47.38,42.5,4.402631578947369,4.151219512195122
bia mara,9.99,18.29,4.99,4.29,5.0,14.0,4.3,4.199999999999999,121.0,48.0,39.08,45.0,4.212280701754386,4.103926482873851
bocata,9.99,12.99,4.99,2.99,5.0,10.0,4.2,3.8,191.0,27.0,27.04,40.0,4.15850622406639,3.92987012987013
bocca,9.99,19.84,4.99,4.84,5.0,15.0,4.333333333333333,3.9,500.0,107.0,15.58,40.0,4.303030303030303,3.9318471337579615
boccone,9.99,12.99,4.99,2.99,5.0,10.0,4.4,4.1,481.0,111.0,29.58,40.0,4.362335216572505,4.068944099378881
bodhi,9.99,15.49,4.99,3.49,5.0,12.0,4.5,4.7,22.0,5.0,33.9,40.0,4.152777777777778,4.0636363636363635
bohobowl,9.99,16.5,4.99,1.5,5.0,15.0,4.4,3.9,35.0,251.0,45.6,50.0,4.1647058823529415,3.9166112956810633
brasserie keizershof,9.99,23.59,4.99,5.59,5.0,18.0,4.5,4.8,240.0,6.0,32.8,50.0,4.413793103448276,4.085714285714286
breadpoint,9.99,19.84,4.99,4.84,5.0,15.0,4.4,4.4,85.0,82.0,34.6,55.0,4.2518518518518515,4.248484848484848
broodlunch,9.99,15.49,4.99,3.49,5.0,12.0,4.5,4.3,185.0,27.0,24.12,50.0,4.3936170212765955,4.105194805194805
brugge kebab,9.99,19.49,4.99,4.49,5.0,15.0,4.1,3.8,500.0,100.0,28.5,40.0,4.090909090909091,3.8666666666666667
burger boutique by bruno & elise,9.99,19.84,4.99,4.84,5.0,15.0,4.3,4.4,289.0,614.0,30.35,50.0,4.255752212389381,4.36987951807229
burger folie,9.99,12.99,4.99,2.99,5.0,10.0,4.3,4.2,278.0,227.0,36.24,45.0,4.2542682926829265,4.16389891696751
burger king,14.99,15.858333333333333,4.99,3.6916666666666664,10.0,12.166666666666666,4.0,2.8000000000000003,321.0,548.1666666666666,42.91,45.833333333333336,4.0,3.011161558192573
burger paradise,9.99,20.0,4.99,0.0,5.0,20.0,4.0,4.6,10.0,161.0,55.57,42.5,4.0,4.457819905213269
cadix food,9.99,23.59,4.99,5.59,5.0,18.0,4.2,4.5,28.0,28.0,35.54,45.0,4.071794871794872,4.17948717948718
cali,9.99,25.0,4.99,0.0,5.0,25.0,4.6,5.0,42.0,6.0,37.19,25.0,4.27391304347826,4.107142857142857
carlito's,9.99,22.99,4.99,4.99,5.0,18.0,4.3,4.3,500.0,24.0,37.08,40.0,4.2727272727272725,4.097297297297297
ceders van libanon,9.99,23.59,4.99,5.59,5.0,18.0,4.5,4.6,57.0,117.0,35.5,55.0,4.266355140186916,4.4203592814371255
chamas tacos,9.99,25.2,4.99,0.6,5.0,24.6,4.0,3.6399999999999997,225.0,2527.6,41.885,61.0,4.03656462585034,3.65957797090363
chez eline,9.99,13.49,4.99,3.49,5.0,10.0,3.1,5.0,14.0,4.0,60.36,45.0,3.803125,4.074074074074074
chez giovanni,4.99,0.0,4.99,0.0,0.0,0.0,4.4,4.0,234.0,27.0,30.93,42.5,4.329577464788733,4.0
chez hassan,9.99,23.59,4.99,5.59,5.0,18.0,4.5,4.2,122.0,74.0,49.58,55.0,4.354651162790698,4.119354838709677
chick 'n dip,9.99,14.49,4.99,3.49,5.0,11.0,3.8000000000000003,4.4,255.0,203.0,27.85,32.5,4.115151515151515,4.02962962962963
chicken tok tok,9.99,15.49,4.99,3.49,5.0,12.0,4.4,3.8,112.0,4.0,22.18,40.0,4.276543209876544,3.985185185185185
chifuri,9.99,19.5,4.99,3.5,5.0,16.0,3.9,3.85,86.0,735.0,40.9,57.5,3.9367647058823527,3.8644110560914218
china keuken,9.99,15.99,4.99,3.99,5.0,12.0,4.3,4.7,500.0,6.0,33.95,40.0,4.2727272727272725,4.075
chitir chicken,9.99,20.7725,4.99,2.5225,5.0,18.25,3.8,3.95,27.0,183.25,24.47,56.25,3.92987012987013,3.8757674067125283
collina 2 go,9.99,15.49,4.99,3.49,5.0,12.0,4.6,4.6,395.0,46.0,25.09,45.0,4.532584269662921,4.2875000000000005
corner city,9.99,15.49,4.99,3.49,5.0,12.0,4.2,4.3,65.0,39.0,38.08,45.0,4.113043478260869,4.131460674157303
couleur safran,9.99,20.0,4.99,0.0,5.0,20.0,4.2,3.8,111.0,2590.0,32.93,77.5,4.137888198757764,3.8037878787878787
croque 'n roll,9.99,13.24,4.99,3.24,5.0,10.0,4.5,4.449999999999999,93.0,20.0,35.42,40.0,4.325174825174825,4.169251336898395
curry masala,9.99,35.0,4.99,5.0,5.0,30.0,4.1,3.7,204.0,48.0,45.18,67.5,4.080314960629922,3.853061224489796
curry palace & tandoor,9.99,22.99,4.99,4.99,5.0,18.0,3.7,3.8,61.0,40.0,39.88,40.0,3.8351351351351357,3.911111111111111
currychiwa,9.99,23.59,4.99,5.59,5.0,18.0,4.4,4.5,126.0,30.0,21.74,45.0,4.286363636363637,4.1875
da adriano,13.99,23.59,4.99,5.59,9.0,18.0,4.1,3.9,27.0,17.0,35.5,45.0,4.035064935064935,3.974626865671642
da toni,9.99,0.0,4.99,0.0,5.0,0.0,4.5,4.2,500.0,61.0,32.46,15.0,4.454545454545454,4.10990990990991
daily pasta,9.99,50.0,4.99,5.0,5.0,45.0,4.1,4.3,48.0,230.0,35.9,42.5,4.048979591836734,4.246428571428571
dal pesce innamorato,19.99,15.49,4.99,3.49,15.0,12.0,4.2,3.5,407.0,631.0,55.83,45.0,4.178118161925602,3.536710719530103
dar za,9.99,15.49,4.99,3.49,5.0,12.0,4.6,4.4,42.0,8.0,28.33,45.0,4.27391304347826,4.055172413793104
de appel,9.99,12.99,4.99,2.99,5.0,10.0,4.4,4.6,500.0,294.0,36.62,45.0,4.363636363636363,4.5127906976744185
de appelier,9.99,19.84,4.99,4.84,5.0,15.0,4.5,4.7,396.0,201.0,25.77,50.0,4.443946188340807,4.560557768924303
de blauwe schuit,9.99,12.99,4.99,2.99,5.0,10.0,4.1,3.9,72.0,6.0,31.97,40.0,4.059016393442623,3.9892857142857143
de burgermeester,9.99,15.0,4.99,0.0,5.0,15.0,4.3,4.3,14.0,25.0,31.3,37.5,4.065625,4.1
de klimop,9.99,15.49,4.99,3.49,5.0,12.0,4.4,4.1,359.0,63.0,27.13,40.0,4.351100244498777,4.05575221238938
de zus van marrit,9.99,19.84,4.99,4.84,5.0,15.0,4.1,4.7,71.0,26.0,34.58,40.0,4.058677685950413,4.239473684210526
deluxe burger,9.99,38.45,4.99,8.45,5.0,30.0,4.1,4.0,15.0,928.0,47.04,42.5,4.023076923076923,4.0
domus,9.99,12.99,4.99,2.99,5.0,10.0,4.4,4.4,300.0,36.0,28.21,45.0,4.3428571428571425,4.167441860465116
donatello,9.99,20.0,4.99,0.0,5.0,20.0,4.4,4.0,99.0,608.0,35.17,72.5,4.265771812080537,4.0
eeetwell,9.99,19.84,4.99,4.84,5.0,15.0,4.5,4.3,500.0,44.0,26.31,45.0,4.454545454545454,4.140425531914894
eethuis - frituur 't stad,9.99,19.84,4.99,4.84,5.0,15.0,4.4,4.3,500.0,826.0,16.28,45.0,4.363636363636363,4.2828767123287665
egmont snack,9.99,15.0,4.99,0.0,5.0,15.0,3.9,3.5,86.0,111.0,28.41,52.5,3.9367647058823527,3.6552795031055902
el bocado,9.99,31.5,4.99,1.5,5.0,30.0,4.1,4.6,172.5,128.0,45.985,23.75,4.113648168760269,4.228557195342176
el sombrero,19.99,15.49,4.99,3.49,15.0,12.0,4.4,4.3,500.0,282.0,35.1,45.0,4.363636363636363,4.254819277108433
el warda,9.99,19.84,4.99,4.84,5.0,15.0,4.2,4.5,78.0,141.0,83.08,60.0,4.121875,4.369109947643979
ellis,9.99,17.247142857142858,4.99,4.104285714285714,5.0,13.142857142857142,3.811111111111111,2.814285714285714,424.8888888888889,149.42857142857142,35.397777777777776,50.0,3.8367449259459514,3.1757995574490487
emmy's eats and sweets,9.99,19.84,4.99,4.84,5.0,15.0,4.5,4.5,500.0,58.0,31.15,45.0,4.454545454545454,4.268518518518518
epicuro,9.99,0.0,4.99,0.0,5.0,0.0,4.2,3.9,336.0,84.0,57.91,62.5,4.174093264248705,3.93731343283582
everest gurkha,9.99,19.84,4.99,4.84,5.0,15.0,4.3,4.1,17.0,11.0,34.22,35.0,4.076119402985075,4.018032786885246
falafel habibi,9.99,18.84,4.99,3.84,5.0,15.0,4.0,4.6,28.0,6.0,28.93,45.0,4.0,4.064285714285714
falafel top,9.99,15.49,4.99,3.49,5.0,12.0,4.6,4.9,167.0,66.0,41.07,35.0,4.461751152073733,4.512068965517242
favoriete,9.99,55.0,4.99,5.0,5.0,50.0,4.4,3.9,214.0,285.0,45.08,52.5,4.324242424242424,3.9149253731343285
felix pizza,9.99,25.0,4.99,0.0,5.0,25.0,3.8,4.6,5.0,321.0,37.29,52.5,3.981818181818182,4.519137466307277
fitchen korenmarkt,9.99,19.84,4.99,4.84,5.0,15.0,4.4,3.6,373.0,5.0,31.3,35.0,4.352718676122931,3.963636363636364
fitchen vlaanderenstraat,9.99,15.49,4.99,3.49,5.0,12.0,4.5,4.1,500.0,944.0,27.14,40.0,4.454545454545454,4.094969818913481
foodmaker,9.99,21.14,4.99,4.9399999999999995,5.0,16.2,3.8,3.56,107.0,4.6,24.45,53.0,3.863694267515923,3.958688593028216
forno a'legna,9.99,19.84,4.99,4.84,5.0,15.0,4.1,4.4,124.0,92.0,46.39,55.0,4.071264367816092,4.259154929577464
frietcultuur,9.99,19.84,4.99,4.84,5.0,15.0,3.9,3.7,69.0,56.0,38.76,50.0,3.942016806722689,3.8415094339622646
friethuis 1958,9.99,15.99,4.99,3.99,5.0,12.0,4.3,4.7,112.0,53.0,31.87,45.0,4.207407407407407,4.360194174757281
friterie dailly,9.99,14.99,4.99,2.99,5.0,12.0,4.3,3.1,24.0,12.0,27.4,50.0,4.097297297297297,3.825806451612903
friterie stalle,9.99,0.0,4.99,0.0,5.0,0.0,4.4,4.0,500.0,43.0,34.03,35.0,4.363636363636363,4.0
frituur 2010,9.99,23.59,4.99,5.59,5.0,18.0,4.4,4.3,387.0,185.0,53.96,50.0,4.354233409610984,4.236170212765957
frituur 9000,19.99,19.84,4.99,4.84,15.0,15.0,3.8,3.2,140.0,130.0,26.62,50.0,3.8526315789473684,3.422222222222222
frituur arré patat,9.99,23.59,4.99,5.59,5.0,18.0,4.3,4.5,500.0,273.0,21.14,40.0,4.2727272727272725,4.422600619195046
frituur artevelde,9.99,23.59,4.99,5.59,5.0,18.0,4.0,3.3,456.0,625.0,44.22,40.0,4.0,3.3518518518518516
frituur belgium,9.99,12.99,4.99,2.99,5.0,10.0,4.2,4.2,500.0,711.0,19.87,40.0,4.181818181818182,4.186859395532195
frituur boem patat,9.99,19.84,4.99,4.84,5.0,15.0,4.2,2.9,86.0,6.0,29.67,40.0,4.126470588235295,3.882142857142857
frituur dageraad,9.99,19.84,4.99,4.84,5.0,15.0,4.3,4.0,391.0,113.0,58.7,45.0,4.265986394557823,4.0
frituur de bunch,9.99,19.84,4.99,4.84,5.0,15.0,4.2,4.1,295.0,10.0,26.78,50.0,4.171014492753623,4.016666666666667
frituur de demer,9.99,15.0,4.99,5.0,5.0,10.0,3.9,2.3,281.0,47.0,39.17,90.0,3.9151057401812683,3.1762886597938147
frituur de gitschotel,9.99,17.5,4.99,2.5,5.0,15.0,4.0,3.4,82.0,293.0,36.43,42.5,4.0,3.4874635568513113
frituur de smulpaep,9.99,19.84,4.99,4.84,5.0,15.0,4.5,4.1,478.0,313.0,36.12,45.0,4.452651515151516,4.0862258953168045
frituur de witte,19.99,23.59,4.99,5.59,15.0,18.0,4.3,4.5,500.0,300.0,22.85,55.0,4.2727272727272725,4.428571428571429
frituur den boomgaard,9.99,19.84,4.99,4.84,5.0,15.0,4.2,4.0,357.0,25.0,33.79,50.0,4.175429975429975,4.0
frituur drakenhof,9.99,15.49,4.99,3.49,5.0,12.0,4.4,4.0,217.0,90.0,48.14,50.0,4.325093632958803,4.0
frituur fonteintje,9.99,23.59,4.99,5.59,5.0,18.0,4.3,4.5,21.0,230.0,29.38,45.0,4.088732394366198,4.410714285714286
frituur frans hooiaard,9.99,19.84,4.99,4.84,5.0,15.0,4.3,3.9,500.0,446.0,24.91,45.0,4.2727272727272725,3.91008064516129
frituur hazegras,9.99,16.0,4.99,6.0,5.0,10.0,4.4,4.8,453.0,1384.0,24.84,32.5,4.3602385685884695,4.772105997210599
frituur heuvelpoort,9.99,19.84,4.99,4.84,5.0,15.0,3.9,3.6,500.0,172.0,27.65,45.0,3.909090909090909,3.69009009009009
frituur kattekwaad,9.99,10.5,4.99,3.0,5.0,7.5,4.3,3.7,293.0,1447.0,80.02,52.5,4.256268221574343,3.7100200400801606
